year,title,vote_average,vote_count,budget,revenue,runtime,genres_description
2023,The Naughty Nine,6.2,46,0,0,83,"Adventure, Crime, TV Movie, Comedy, Family"
2010,Percy Jackson & the Olympians: The Lightning Thief,6.2,7083,95000000,226497209,118,"Fantasy, Adventure, Family"
2023,The End of Sex,6.2,15,0,0,87,"Drama, Romance, Comedy"
2023,Candy Cane Lane,6.2,291,0,0,117,"Family, Fantasy, Comedy"
2023,Shrapnel,6.2,22,0,0,89,"Action, Drama, Thriller"
2023,The Best Man,6.2,95,0,0,93,"Thriller, Action"
2023,The Black Demon,6.2,563,0,0,101,"Thriller, Drama"
2023,JUNG_E,6.2,524,0,0,98,"Science Fiction, War"
2015,Krampus,6.2,2037,15000000,61800000,98,"Horror, Fantasy, Comedy"
2023,Confidential Informant,6.2,99,0,0,88,"Action, Thriller, Mystery"
2018,Pacific Rim: Uprising,6.1,4603,150000000,290061297,111,"Science Fiction, Adventure, Fantasy, Action"
2022,Morbius,6.1,3835,75000000,167500000,105,"Action, Science Fiction, Fantasy"
1999,Inferno,6.1,284,15000000,0,95,"Romance, Action, Drama"
2017,Geostorm,6.1,4514,120000000,221600160,109,"Thriller, Science Fiction, Action"
2019,Aquaman: Heroines of Atlantis,6.1,37,0,0,6,Documentary
2023,Pet Sematary: Bloodlines,6.1,249,0,0,87,Horror
2017,Transformers: The Last Knight,6.1,5822,217000000,605400000,154,"Action, Adventure, Science Fiction"
2023,The Boogeyman: The Origin of the Myth,6.1,44,0,0,0,"Adventure, Horror"
2023,A Royal Christmas on Ice,6.1,4,0,0,85,"Drama, Romance, TV Movie, Comedy"
2017,Baywatch,6.1,7637,69000000,177856751,116,"Comedy, Crime, Action"
2011,Cars 2,6.1,7257,200000000,559852396,106,"Family, Animation, Adventure, Comedy"
2022,The Silent Forest,6.1,17,0,0,95,"Thriller, Mystery, Crime"
2023,The Out-Laws,6.1,570,0,0,95,"Action, Comedy, Romance"
2023,Cocaine Bear,6.1,1676,32500000,87649532,96,"Thriller, Crime, Comedy"
2017,Justice League,6.1,12404,300000000,657926987,120,"Action, Adventure, Science Fiction"
2016,Ice Age: Collision Course,6.1,4244,105000000,408579038,95,"Comedy, Adventure, Family, Animation"
2023,65,6.1,1941,45000000,55000000,92,"Action, Science Fiction, Adventure"
2017,xXx: Return of Xander Cage,6.1,8599,85000000,346100000,107,"Adventure, Crime, Action"
2023,The Ritual Killer,6.1,216,7000000,0,92,"Drama, Action, Thriller, Mystery"
2022,Reign of Chaos,6.1,31,10000,100,77,"Fantasy, Action, Horror"
2023,The Exorcist: Believer,6.1,705,30000000,134800000,111,Horror
2013,Grown Ups 2,6.1,4013,80000000,247022278,101,Comedy
2017,Alien: Covenant,6.1,7978,97000000,240891763,122,"Horror, Science Fiction, Mystery"
2023,Bird Box Barcelona,6,557,19800000,0,124,"Horror, Thriller, Science Fiction"
2023,Immersion,6,5,0,0,109,"Science Fiction, Horror, Mystery"
